Simplified,Chapter,Pinyin,Category,Meaning
多,9,duō,Adv,how
多余,20,duōyú,A,superfluous; uncalled for; surplus
多大,9,duōdà,QPr,how old
多少,8,duōshao,QPr,"how many, how much"
夜,20,yè,N,night
大,8,dà,A,"big, large"
大,9,dà,A,old (in reference to a person)
大便,12,dàbiàn,N,stool
大学,24,dàxué,N,university; college
大学生,21,dàxuéshēng,N,university student; college student
大家,18,dàjiā,Pr,all; everybody
天,6,tiān,N,day
天堂,21,tiāntáng,N,heaven; paradise
天气,6,tiānqì,N,weather
天气预报,23,tiānqì yùbào,N,weather forecast
太,6,tài,Adv,too; extremely
太太,22,tàitài,N,wife; Mrs.
太极拳,17,tàijíquán,N,Taiji Boxing
头,12,tóu,N,head
头发,17,tóufa,N,hair
套,17,tào,M,set; suit; suite
女,5,nǚ,A,female
女儿,11,nǚ'ér,N,daughter
奶奶,3,nǎinai,N,grandmother on the father's side
她,3,tā,Pr,she; her
好,1,hǎo,A,good; well; fine; O.K.
好久,15,hǎojiǔ,IE,long time
好久不见,15,hǎojiǔ bújiàn,IE,"""long time no see""; haven't seen someone for a long time"
好像,18,hǎoxiàng,V,to seem; to be like
如果,25,rúguǒ,Conj,if
妆,20,zhuāng,N,makeup
妈妈,2,māma,N,mom
妹妹,8,mèimei,N,younger sister
妻子,26,qīzi,N,wife
姐姐,8,jiějie,N,older sister
姑娘,13,gūniang,N,girl
姓,4,xìng,V,one's surname is.../surname
姓名,16,xìngmíng,N,full name
孔子,23,kǒngzǐ,PN,Confucius
字,11,zì,N,character
孙女儿,11,sūnnür,N,granddaughter (son's daughter)
孙子,18,sūnzi,N,grandson
学,7,xué,V,to learn; to study
学习,4,xuéxí,V,to learn; to study
学校,21,xuéxiào,N,school
学生,5,xuésheng,N,student
学院,4,xuéyuàn,N,institute; college
孩子,19,háizi,N,child; children
它,19,tā,Pr,it
它们,19,tāmen,Pr,"they (refering to things, animals)"
宋华,5,sòng huá,PN,(name of a Chinese student)
完,25,wán,V,finish; run out of
实在,26,shízài,A,honest/truly; really
实用,16,shíyòng,A,practical
客,18,kè,N,visitor; guest
客人,26,kèrén,N,guest
客厅,13,kètīng,N,living room
客气,18,kèqi,A,polite; curteous
室,16,shì,N,room
害怕,23,hàipà,V,be afraid
家,19,jiā,N,specialist
家,8,jiā,N,"family, home"
家美,13,jiāměi,PN,name of a house rental agency
容易,10,róngyì,A,easy
宿舍,5,sùshè,N,dormitory
寄,14,jì,V,"post, mail"
对,14,duì,A,"right, correct"
对,26,duì,Prep,to
对不起,5,duìbuqǐ,IE,I'm sorry
导,23,dǎo,V,to guide; to lead
导游,23,dǎoyóu,N,tour guide
寿面,9,shòumiàn,N,"birthday noodles, longevity noodles"
封,18,fēng,M,(measure word for letter)
将军,24,jiāngjūn,N,general
小,8,xiǎo,A,"little, small"
小伙子,26,xiǎohuǒzi,N,young man
小便,12,xiǎobiàn,N,urine
小偷,25,xiǎotōu,N,thief
小姐,5,xiǎojie,N,Miss; young lady
小学,20,xiǎoxué,N,primary school; elementary school
小孩儿,24,xiǎohái(r),N,kid; child
小时,17,xiǎoshí,N,hour
小燕子,23,xiǎo yànzi,PN,(name of a Chinese tour guide)
小说,22,xiǎoshuō,N,novel; fiction
少,15,shǎo,A,few; little
就,15,jiù,Adv,exactly; precisely
局,14,jú,N,office; bureau
层,5,céng,M,story; floor
展览,26,zhǎnlǎn,N,exhibition; show
属,9,shǔ,V,"be born in the year of ... (dog, rooster, etc.)"
山,21,shān,N,hill; mountain
山水,21,shānshuǐ,N,landscape
岁,9,suì,M,years old (of a person)
岁数,11,suìshu,N,years (of age)
工作,8,gōngzuò,V,work/work
工作人员,15,gōngzuò rényuán,N,working personnel; staff member
工程师,8,gōngchéngshī,N,engineer
左,21,zuǒ,N,left
左边,21,zuǒbian,N,left side
巧,13,qiǎo,A,coincidental
差,11,chà,V,"lack, be short of"
差,17,chà,A,not up to standard; poor; bad
已经,17,yǐjīng,Adv,already
布,17,bù,N,cloth; fabric
帅,17,shuài,A,handsome; smart
师傅,10,shīfu,N,master worker
带,16,dài,V,bring
帮,23,bāng,V,to help; assist
帮助,13,bāngzhù,V,help
帮忙,23,bāngmáng,VO,to help
常,10,cháng,Adv,often
常常,10,chángcháng,Adv,often
幅,19,fú,M,"(measure word for paintings, cloth)"
平方,21,píngfāng,A,square
平方米,21,píngfāngmǐ,M,square meter
年,9,nián,N,year
年级,24,niánjí,N,grade (in school)
年轻,15,niánqīng,A,young
年龄,16,niánlíng,N,age
幸福,20,xìngfú,A,happy
广东,16,guǎngdōng,PN,Guangdong Province
广州,23,guǎngzhōu,PN,Guangzhou
床,11,chuáng,N,bed
应该,11,yīnggāi,OpV,should; ought to
店,17,diàn,N,shop; store
度,23,dù,M,degree (for temperature)
座,24,zuò,M,"(measure word for mountains, buildings and other immovable objects)"
座位,22,zuòwèi,N,seat
建国门,18,jiànguó mén,PN,Jianguo Men (place in Beijing)
建筑师,21,jiànzhùshī,N,architect
建议,23,jiànyì,V,make suggestions/suggestion; advice
开,20,kāi,V,drive; operate
开,7,kāi,V,to open; to start
开刀,12,kāidāo,VO,have an operation
开始,16,kāishǐ,V,start; begin
开学,7,kāixué,VO,to start school
开玩笑,19,kāi wánxiào,VO,crack a joke; make fun of
开车,20,kāichē,VO,drive a car
开门,19,kāimén,VO,open the door; begin a day's business
式,17,shì,N,type; style
弟弟,2,dìdi,N,younger brother
张,7,zhāng,PN,(a surname)
张,8,zhāng,M,flat objects
弯,25,wān,V,bend
当,24,dāng,V,serve as; act as; to be (occupation)
当然,8,dāngrán,A,as it should be; only natural that
影,13,yǐng,N,shadow
往,18,wǎng,Prep,to; toward
很,1,hěn,Adv,very
律师,8,lǜshī,N,lawyer
徐悲鸿,19,xú bēihóng,PN,(name of a well-known Chinese painter)
得,13,dé,V,"have, get"
得,15,de,StPt,(structural particle)
得,15,děi,OpV,need; must; have to
忘,16,wàng,V,forget
忙,2,máng,A,busy
快,15,kuài,A,fast; quick; rapid
快乐,9,kuàilè,A,happy
念,14,niàn,V,read
怎么,10,zěnme,QPr,how
怎么样,9,zěnmeyàng,QPr,"how is ..., what is ... like"
性别,16,xìngbié,N,sex; gender
总是,17,zǒngshì,Adv,always
恐怕,6,kǒngpà,Adv,to be afraid that; perhaps
恭喜,20,gōngxǐ,IE,congratulations
您,3,nín,Pr,you  (polite form)
悲伤,22,bēishāng,A,sad; sorrow
情况,26,qíngkuàng,N,situation
惊喜,14,jīngxǐ,N,pleasant surprise
想,12,xiǎng,V,think/want to...
想,14,xiǎng,V,miss; remember with longing
想像,19,xiǎngxiàng,V,imagine
意思,26,yìsi,N,meaning
感,26,gǎn,V,feel; sense
感人,22,gǎnrén,A,touching; moving
感兴趣,26,gǎn xìngqù,IE,be interested in something
感冒,12,gǎnmào,V,have a cold/common cold
感恩节,14,gǎn'ēn jié,N,Thanksgiving
愿意,12,yuànyì,OpV,be willing to ...
慢,16,màn,A,slow; slowly
懂,15,dǒng,V,understand
戏,22,xì,N,drama; play; show
戏院,22,xìyuàn,N,theater
成,26,chéng,V,become
我,1,wǒ,Pr,I; me
我们,2,wǒmen,Pr,we; us
或者,20,huòzhě,Conj,or
房子,13,fángzi,N,house
房租,13,fángzū,N,rent (for a house or apartment)
房间,16,fángjiān,N,room
所以,20,suǒyǐ,Conj,so
手,25,shǒu,N,hand
手机,25,shǒujī,N,cellular phone
才,26,cái,Adv,just
打,6,dǎ,V,to play
打工,14,dǎgōng,V,have a part-time job
打扫,14,dǎsǎo,V,clean
打折,17,dǎzhé,VO,sell at a discount; give a disount
打球,6,dǎqiú,VO,to play ball
打电话,13,dǎ diànhuà,VO,make a phone call
打的,11,dǎdī,VO,take a taxi
打算,23,dǎsuan,N,plan/to plan; to intend to
打针,12,dǎzhēn,VO,have an injection
扫,14,sǎo,V,sweep
找(钱),10,zhǎo(qián),V,give change
找,13,zhǎo,V,look for
技术,24,jìshù,N,technology; skill
把,16,bǎ,Prep,(denoting the disposal of something)
抓,25,zhuā,V,clutch; catch; arrest
护照,18,hùzhào,N,passport
报,10,bào,N,newspaper
抱歉,6,bàoqiàn,A,to feel sorry; sorry
拍,23,pāi,V,pat; beat; take (a picture)
拐,21,guǎi,V,turn
拜拜,11,báibái,IE,bye-bye (transliteration)
拿,16,ná,V,take; hold; get
挂号,12,guàhào,VO,"register (at a hospital, etc.)"
挂失,25,guàshī,VO,report the loss of something
换,15,huàn,V,exchange; change
掉,25,diào,V,drop; fall
排,15,pái,V,arrange; put in order
排,22,pái,N,line; row
排队,15,páiduì,VO,form a line; queue up
接,24,jiē,V,pick up (someone)
揍,20,zòu,V,play a musical instrument
提,21,tí,V,lift
提,23,tí,V,put forward; raise
提高,21,tígāo,V,improve; increase
撞,25,zhuàng,V,knock; collide
支,10,zhī,M,stick-like objects like pens
收,24,shōu,V,accept; receive
收入,24,shōurù,N,income; earnings
收票员,18,shòupiàoyuán,N,ticket seller; conductor
放,25,fàng,V,put; place
放假,23,fàngjià,VO,have a holiday or vacation
放心,18,fàngxīn,VO,set one's mind at rest; be at ease; feel relieved
故事,22,gùshi,N,story; tale
教,7,jiāo,V,to teach
教书,23,jiāoshū,VO,teach
