Simplified,Chapter,Pinyin,Category,Meaning
小便,12,xiǎo biàn,N,urine
小偷,25,xiǎo tōu,N,thief
小姐,5,xiǎo jie,N,Miss; young lady
小学,20,xiǎo xué,N,primary school; elementary school
小孩儿,24,xiǎo hái(r),N,kid; child
小时,17,xiǎo shí,N,hour
小燕子,23,xiǎo yàn zi,PN,(name of a Chinese tour guide)
小说,22,xiǎo shuō,N,novel; fiction
少,15,shǎo,A,few; little
就,15,jiù,Adv,exactly; precisely
局,14,jú,N,office; bureau
层,5,céng,M,story; floor
展览,26,zhǎn lǎn,N,exhibition; show
属,9,shǔ,V,"be born in the year of ... (dog, rooster, etc.)"
山,21,shān,N,hill; mountain
山水,21,shān shuǐ,N,landscape
岁,9,suì,M,years old (of a person)
岁数,11,suì shu,N,years (of age)
工作,8,gōng zuò,V,work/work
工作人员,15,gōng zuò rényuán,N,working personnel; staff member
工程师,8,gōng chéng shī,N,engineer
左,21,zuǒ,N,left
左边,21,zuǒ bian,N,left side
巧,13,qiǎo,A,coincidental
差,11,chà,V,"lack, be short of"
差,17,chà,A,not up to standard; poor; bad
已经,17,yǐ jīng,Adv,already
布,17,bù,N,cloth; fabric
帅,17,shuài,A,handsome; smart
师傅,10,shī fu,N,master worker
带,16,dài,V,bring
帮,23,bāng,V,to help; assist
帮助,13,bāng zhù,V,help
帮忙,23,bāng máng,VO,to help
常,10,cháng,Adv,often
常常,10,cháng cháng,Adv,often
幅,19,fú,M,"(measure word for paintings, cloth)"
平方,21,píng fāng,A,square
平方米,21,píng fāng mǐ,M,square meter
年,9,nián,N,year
年级,24,nián jí,N,grade (in school)
年轻,15,nián qīng,A,young
年龄,16,nián líng,N,age
幸福,20,xìng fú,A,happy
广东,16,guǎng dōng,PN,Guangdong Province
广州,23,guǎng zhōu,PN,Guangzhou
床,11,chuáng,N,bed
应该,11,yīng gāi,OpV,should; ought to
店,17,diàn,N,shop; store
度,23,dù,M,degree (for temperature)
座,24,zuò,M,"(measure word for mountains, buildings and other immovable objects)"
座位,22,zuò wèi,N,seat
建国门,18,jiàn guó mén,PN,Jianguo Men (place in Beijing)
建筑师,21,jiàn zhù shī,N,architect
建议,23,jiàn yì,V,make suggestions/suggestion; advice
开,20,kāi,V,drive; operate
开,7,kāi,V,to open; to start
开刀,12,kāi dāo,VO,have an operation
开始,16,kāi shǐ,V,start; begin
开学,7,kāi xué,VO,to start school
开玩笑,19,kāi wán xiào,VO,crack a joke; make fun of
开车,20,kāi chē,VO,drive a car
开门,19,kāi mén,VO,open the door; begin a day's business
式,17,shì,N,type; style
弟弟,2,dì di,N,younger brother
张,7,zhāng,PN,(a surname)
张,8,zhāng,M,flat objects
弯,25,wān,V,bend
当,24,dāng,V,serve as; act as; to be (occupation)
当然,8,dāng rán,A,as it should be; only natural that
影,13,yǐng,N,shadow
往,18,wǎng,Prep,to; toward
很,1,hěn,Adv,very
律师,8,lǜ shī,N,lawyer
徐悲鸿,19,xú bēi hóng,PN,(name of a well-known Chinese painter)
得,13,dé,V,"have, get"
得,15,de,StPt,(structural particle)
得,15,děi,OpV,need; must; have to
忘,16,wàng,V,forget
忙,2,máng,A,busy
快,15,kuài,A,fast; quick; rapid
快乐,9,kuài lè,A,happy
念,14,niàn,V,read
怎么,10,zěn me,QPr,how
怎么样,9,zěn me yàng,QPr,"how is ..., what is ... like"
